"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"137","VR Tours Kft.","Budapest, Lánchíd u. 23, 1013 Hungary","vrtoursofficial.com","F2WR+GJ Budapest, Hungary","4.9","77","https://www.google.com/maps/place/VR+Tours+Kft./@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dd50b9dfc397:0x1302183fa4affa0b!8m2!3d47.4963527!4d19.0415985?hl=en",
"136","Kazinczy Street Synagogue","Budapest, Kazinczy u. 29-31, 1075 Hungary","kazinczyutcaizsinagoga.hu","F3X6+CX Budapest, Hungary","4.4","286","https://www.google.com/maps/place/Kazinczy+Street+Synagogue/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc69b4ec5a3b:0x3007bee6ef275849!8m2!3d47.4985127!4d19.0623758?hl=en",
"135","Rumbach Street Synagogue","Budapest, Rumbach Sebestyén u., 1074 Hungary","","F3X5+3G Budapest, Hungary","4.2","410","https://www.google.com/maps/place/Rumbach+Street+Synagogue/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc42081362bf:0xee6817f97d1c6b26!8m2!3d47.4977046!4d19.0587541?hl=en",
"134","Budaszentlőrinc Pauline Monastery","'36.0""N 18°57'21.6""E, 4731 Hungary","","GXG4+MC Budapest, Hungary","4.5","44","https://www.google.com/maps/place/Budaszentl%C5%91rinc+Pauline+Monastery/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741df3774710ab1:0x2c5880e344be7db2!8m2!3d47.526664!4d18.956011?hl=en",
"133","Malonyai kastély","Halásztelek, II. Rákóczi Ferenc út 68, 2314 Hungary","","9X7Q+46 Halásztelek, Hungary","4.5","113","https://www.google.com/maps/place/Malonyai+kast%C3%A9ly/@47.3628259,18.9180824,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741e5d35f48c823:0x8c3b762e53c273a6!8m2!3d47.3628259!4d18.9881202?hl=en",
"132","Statue of Prince Eugene of Savoy","Budapest, 1013 Hungary","","F2WR+H2 Budapest, Hungary","4.6","195","https://www.google.com/maps/place/Statue+of+Prince+Eugene+of+Savoy/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc3c72f44a09:0x9e2c992be3d17e08!8m2!3d47.4964699!4d19.0400694?hl=en",
"131","Epic Nights Budapest","Budapest, Wesselényi u. 11, 1077 Hungary","epicnightsbudapest.com","F3W6+RV Budapest, Hungary","4.3","6","https://www.google.com/maps/place/Epic+Nights+Budapest/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc6db50759ab:0x16b1c08b50e1a42!8m2!3d47.4970584!4d19.0621472?hl=en",
"130","Danubius Fountain","Budapest, Erzsébet tér 4, 1051 Hungary","","F3X3+82 Budapest, Hungary","4.5","247","https://www.google.com/maps/place/Danubius+Fountain/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc401866d409:0x19a170df56ded1c4!8m2!3d47.4983318!4d19.0525507?hl=en",
"129","Nehru Part","Budapest, Nehru part, 1093 Hungary","","F3J7+HH Budapest, Hungary","4.5","2,179","https://www.google.com/maps/place/Nehru+Part/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc5426bd3e87:0x9095ef6cbccd67e4!8m2!3d47.4814876!4d19.0639846?hl=en",
"128","Underground Railway Museum","Budapest, Erzsébet tér 14, 1051 Hungary","bkv.hu","F3X3+3W Budapest, Hungary","4.3","668","https://www.google.com/maps/place/Underground+Railway+Museum/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc41ce59500d:0x3d6380de9ef71559!8m2!3d47.4977067!4d19.0547602?hl=en",
"127","Columbo Statue","Budapest, Falk Miksa u., 1055 Hungary","","G27X+3H Budapest, Hungary","4.6","1,042","https://www.google.com/maps/place/Columbo+Statue/@47.5076282,19.0059231,12z/data=!4m9!1m3!2m2!1shistorical+places+near+Budapest,+Hungary!6e1!3m4!1s0x4741dc0f04574b23:0xdddcc6cb75275a39!8m2!3d47.5126465!4d19.0489237?hl=en",
