"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"378","Intermezzo Restaurant and Bar","Budapest, Hold u. 5, 1054 Hungary","hotelpresident.hu","G333+H5 Budapest, Hungary","3.6","32","https://www.google.com/maps/place/Intermezzo+Restaurant+and+Bar/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc1361d67efd:0x40bc99c79c81283b!8m2!3d47.5039671!4d19.0528831?hl=en",
"377","Pizza Hut Lurdy Ház","Budapest, 1097 Hungary","pizzahut.hu","F3CM+9M Budapest, Hungary","3.2","5","https://www.google.com/maps/place/Pizza+Hut+Lurdy+H%C3%A1z/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741ddceca2948eb:0x4d9596c7ad384ffb!8m2!3d47.4709718!4d19.0842317?hl=en",
"376","Verne Restaurant & Cafe","Budapest, Váci u. 60, 1056 Hungary","vernerestaurant.com","F3Q4+W8 Budapest, Hungary","3.4","544","https://www.google.com/maps/place/Verne+Restaurant+%26+Cafe/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc45a13b7a9b:0x17e60476c83f5abf!8m2!3d47.4898132!4d19.0558135?hl=en",
"375","Széchenyi Étterem","Budapest, Margitsziget, 1138 Hungary","danubiushotels.hu","G3J3+V4 Budapest, Hungary","3.6","37","https://www.google.com/maps/place/Sz%C3%A9chenyi+%C3%89tterem/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dbe47b8271f7:0x1d45ba8bd958cc44!8m2!3d47.532241!4d19.052824?hl=en",
"374","La Lucia Restaurant","Budapest, Váci u. 25, 1052 Hungary","laluciabudapest.com","F3V3+93 Budapest, Hungary","3.4","888","https://www.google.com/maps/place/La+Lucia+Restaurant/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc46cbdb9ca5:0x4697c47a87ad41c2!8m2!3d47.4934622!4d19.0527458?hl=en",
"373","Csirke-Fogó Kft.","Budapest, Bajcsy-Zsilinszky út 7, 1065 Hungary","csirkecsibesz.hu","F3X4+H2 Budapest, Hungary","4.9","7","https://www.google.com/maps/place/Csirke-Fog%C3%B3+Kft./@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dc6a80a620ad:0x1bb38dfae8e2970e!8m2!3d47.49892!4d19.0550652?hl=en",
"372","ÁRKÁD Budapest","Budapest, Örs vezér tere 25/A, 1106 Hungary","arkadbudapest.hu","G43Q+32 Budapest, Hungary","4.4","23,984","https://www.google.com/maps/place/%C3%81RK%C3%81D+Budapest/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dcaa368490e7:0x6d30dfce22276112!8m2!3d47.50269!4d19.1376097?hl=en",
"371","Las Vegan's","Budapest, Futó u. 37-45, 1083 Hungary","lasvegans.eu","F3PF+FR Budapest, Hungary","3.7","16","https://www.google.com/maps/place/Las+Vegan's/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dd54365c0f2d:0xa358bfb1d39e476d!8m2!3d47.4861636!4d19.0745174?hl=en",
"370","Pizza Hut DUNA PLAZA","Budapest, Váci út 178, 1138 Hungary","pizzahut.hu","G3XF+Q5 Budapest, Hungary","3.8","295","https://www.google.com/maps/place/Pizza+Hut+DUNA+PLAZA/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741dbce0f470f25:0x1e7bec974992f8b!8m2!3d47.549376!4d19.072893?hl=en",
"369","Wistro33","Budapest, Bástya u. 33, 1056 Hungary","hotelmemories.hu","F3Q6+V5 Budapest, Hungary","5.0","3","https://www.google.com/maps/place/Wistro33/@47.5101525,19.0093022,12z/data=!4m9!1m3!2m2!1srestaurants+near+Budapest,+Hungary!6e5!3m4!1s0x4741ddaec457c2ff:0xfe3e45a527e6b40c!8m2!3d47.489676!4d19.0604847?hl=en",
